card_id	german	target_gloss	status	matched_form	expected_pos	example_german	example_english	tatoeba_attribution
x10001	Hallo	hello	sourced	hallo	INTJ	Hallo? Bist du noch da?	Hello? Are you still there?	CC-BY 2.0 (France) Attribution: tatoeba.org #1601588 (kerbear407) & #690 (MUIRIEL)
x10002	Tschüss	bye	sourced	tschüss	INTJ	Tschüss und viel Glück!	Goodbye and good luck.	CC-BY 2.0 (France) Attribution: tatoeba.org #434818 (lukaszpp) & #485474 (Espi)
x10003	bitte	please	sourced	bitte	ADV,INTJ,VERB	Mach bitte die Tür zu!	Please shut the door.	CC-BY 2.0 (France) Attribution: tatoeba.org #495837 (CK) & #2890589 (Pfirsichbaeumchen)
x10004	danke	thanks	sourced	danke	INTJ,VERB	Es geht mir gut, danke.	I’m fine, thank you.	CC-BY 2.0 (France) Attribution: tatoeba.org #65115 (CM) & #341460 (MUIRIEL)
x10005	gern	gladly	sourced	gerne	ADV	Das mache ich doch gerne.	I will do it gladly.	CC-BY 2.0 (France) Attribution: tatoeba.org #2267144 (_undertoad) & #2300974 (Pfirsichbaeumchen)
x10006	Entschuldigung	excuse me / sorry	sourced	entschuldigung	INTJ	Entschuldigung, aber es ist Zeit.	I’m sorry, but it’s time.	CC-BY 2.0 (France) Attribution: tatoeba.org #2545292 (CK) & #6556875 (Zaghawa)
x10007	heißen	to be called	sourced	heissen	AUX,VERB	Leute, die Bodybuilding betreiben, heißen Bodybuilder.	People who do bodybuilding are called bodybuilders.	CC-BY 2.0 (France) Attribution: tatoeba.org #745835 (Minorojo) & #2461565 (Zaghawa)
x10008	kommen	to come	sourced	kommen	AUX,VERB	Ich habe vor zu kommen.	I’m planning to come.	CC-BY 2.0 (France) Attribution: tatoeba.org #3825659 (CK) & #5693095 (raggione)
x10009	wohnen	to live / reside	sourced	wohnen	AUX,VERB	Die wohnen in der Nähe.	They live nearby.	CC-BY 2.0 (France) Attribution: tatoeba.org #306386 (lilygilder) & #8098101 (Pfirsichbaeumchen)
x10010	arbeiten	to work	sourced	arbeiten	AUX,VERB	Ich gab vor zu arbeiten.	I pretended to work.	CC-BY 2.0 (France) Attribution: tatoeba.org #2389879 (CK) & #3981459 (Kuraimegami)
x10011	lernen	to learn	sourced	lernen	AUX,VERB	Es ist leicht zu lernen.	It’s easy to learn.	CC-BY 2.0 (France) Attribution: tatoeba.org #9814482 (DJ_Saidez) & #10018007 (Melang)
x10012	sprechen	to speak	sourced	sprechen	AUX,VERB	Ich muss mit dir sprechen.	I’ve got to speak to you.	CC-BY 2.0 (France) Attribution: tatoeba.org #1941221 (Spamster) & #555887 (cost)
x10013	verstehen	to understand	sourced	verstehen	AUX,VERB	Du wirst es bald verstehen.	You’ll understand soon.	CC-BY 2.0 (France) Attribution: tatoeba.org #2255395 (CK) & #8257966 (driini)
x10014	fragen	to ask	sourced	fragen	AUX,VERB	Du hättest mich fragen können.	You could’ve asked me.	CC-BY 2.0 (France) Attribution: tatoeba.org #3822752 (CK) & #3885491 (Pfirsichbaeumchen)
x10015	antworten	to answer	sourced	antworten	AUX,VERB	Ich bin bereit zu antworten.	I’m ready to answer.	CC-BY 2.0 (France) Attribution: tatoeba.org #5754664 (CM) & #6786031 (Pfirsichbaeumchen)
x10016	sagen	to say	sourced	sagen	AUX,VERB	Hör auf, das zu sagen!	Stop saying that!	CC-BY 2.0 (France) Attribution: tatoeba.org #41575 (CK) & #695670 (jakov)
x10017	machen	to do / make	sourced	machen	AUX,VERB	Ich muss eine Liste machen.	I need to make a list.	CC-BY 2.0 (France) Attribution: tatoeba.org #10751523 (CK) & #11002760 (toivo)
x10018	gehen	to go	sourced	gehen	AUX,VERB	Es ist okay zu gehen.	It’s okay to go.	CC-BY 2.0 (France) Attribution: tatoeba.org #518554 (CK) & #6626101 (Felixjp)
x10019	fahren	to travel / drive	sourced	fahren	AUX,VERB	Wir fahren in die Stadt.	We’re driving into town.	CC-BY 2.0 (France) Attribution: tatoeba.org #10719065 (sundown) & #6595417 (Pfirsichbaeumchen)
x10020	bleiben	to stay	sourced	bleiben	AUX,VERB	Bleiben Sie in der Nähe.	Stay close.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111515 (CK) & #7060135 (quicksanddiver)
x10021	kaufen	to buy	sourced	kaufen	AUX,VERB	Warum kaufen Sie soviel Eis?	Why are you buying so much ice cream?	CC-BY 2.0 (France) Attribution: tatoeba.org #9814812 (CK) & #11918927 (Pfirsichbaeumchen)
x10022	bezahlen	to pay	sourced	bezahlen	AUX,VERB	Sie sind die, die bezahlen.	They’re the ones who are paying.	CC-BY 2.0 (France) Attribution: tatoeba.org #7779639 (shekitten) & #7780054 (raggione)
x10023	kosten	to cost	sourced	kosten	AUX,VERB	Das wird dich was kosten.	It’s going to cost you.	CC-BY 2.0 (France) Attribution: tatoeba.org #3729236 (CM) & #12198195 (Pfirsichbaeumchen)
x10024	essen	to eat	sourced	essen	AUX,VERB	Ich bin dabei zu essen.	I’m eating.	CC-BY 2.0 (France) Attribution: tatoeba.org #1189719 (Vortarulo) & #1792510 (Esperantostern)
x10025	trinken	to drink	sourced	trinken	AUX,VERB	Hol mir was zu trinken.	Get me a drink.	CC-BY 2.0 (France) Attribution: tatoeba.org #3734215 (CK) & #6644789 (Felixjp)
x10026	kochen	to cook	sourced	kochen	AUX,VERB	Sie kann sehr gut kochen.	She cooks very well.	CC-BY 2.0 (France) Attribution: tatoeba.org #311816 (CK) & #2323322 (Pfirsichbaeumchen)
x10027	schlafen	to sleep	sourced	schlafen	AUX,VERB	Es ist Zeit zu schlafen.	It’s time to go to sleep.	CC-BY 2.0 (France) Attribution: tatoeba.org #399124 (catakaoe) & #1274414 (Esperantostern)
x10028	aufstehen	to get up	sourced	aufstehen	AUX,VERB	Ich möchte nicht aufstehen.	I don’t feel like getting up.	CC-BY 2.0 (France) Attribution: tatoeba.org #4708046 (adamtrousers) & #6961233 (moskytoo)
x10029	anfangen	to begin	sourced	anfangen	AUX,VERB	Lasst uns von vorne anfangen.	Let’s start from the beginning.	CC-BY 2.0 (France) Attribution: tatoeba.org #2007352 (CK) & #5507040 (raggione)
x10030	aufhören	to stop	sourced	aufhören	AUX,VERB	Du musst mit dem aufhören.	You have to stop it.	CC-BY 2.0 (France) Attribution: tatoeba.org #3341708 (CK) & #6645201 (Felixjp)
x10031	öffnen	to open	sourced	öffnen	AUX,VERB	Öffnen Sie bitte die Tür.	Please open the door.	CC-BY 2.0 (France) Attribution: tatoeba.org #39008 (CK) & #391510 (MUIRIEL)
x10032	schließen	to close	sourced	schliessen	AUX,VERB	Bitte schließen Sie die Tür.	Please close the door.	CC-BY 2.0 (France) Attribution: tatoeba.org #495838 (CK) & #440487 (Espi)
x10033	brauchen	to need	sourced	brauchen	AUX,VERB	Da brauchen Sie aber mehr.	You need more than that.	CC-BY 2.0 (France) Attribution: tatoeba.org #9149888 (CK) & #12742364 (Waldelfe)
x10034	haben	to have	sourced	haben	AUX,VERB	Das ist gut zu haben.	That’s a good thing to have.	CC-BY 2.0 (France) Attribution: tatoeba.org #3591176 (CK) & #6645574 (Felixjp)
x10035	sein	to be	sourced	sein	AUX,VERB	Du wirst mit mir sein.	You’ll be with me.	CC-BY 2.0 (France) Attribution: tatoeba.org #2548895 (CK) & #6626130 (Felixjp)
x10036	können	can / to be able	sourced	können	AUX,VERB	Das können wir nicht tun.	That we are not able to do.	CC-BY 2.0 (France) Attribution: tatoeba.org #460090 (saasmath) & #911490 (Sudajaengi)
x10037	müssen	must / to have to	sourced	müssen	AUX,VERB	Sie müssen viel Geld haben.	You must have a lot of money.	CC-BY 2.0 (France) Attribution: tatoeba.org #9522951 (CK) & #12644541 (Waldelfe)
x10038	wollen	to want	sourced	wollen	AUX,VERB	Du hast, was sie wollen.	You have what they want.	CC-BY 2.0 (France) Attribution: tatoeba.org #2645132 (CK) & #6626173 (Felixjp)
x10039	möchten	would like	sourced	möchten	AUX,VERB	Wir möchten ein Sofa kaufen.	We would like to buy a sofa.	CC-BY 2.0 (France) Attribution: tatoeba.org #43237 (CK) & #6038689 (Zaghawa)
x10040	dürfen	may / to be allowed	sourced	dürfen	VERB	Wir dürfen das nicht tun.	We’re not allowed to do that.	CC-BY 2.0 (France) Attribution: tatoeba.org #2953922 (CK) & #6045510 (list)
x10041	heute	today	sourced	heute	ADV	Das war’s für heute.	That’s it for today.	CC-BY 2.0 (France) Attribution: tatoeba.org #1451057 (MrShoval) & #1123199 (Hans_Adler)
x10042	gestern	yesterday	sourced	gestern	ADV	Es war gestern noch da.	It was there yesterday.	CC-BY 2.0 (France) Attribution: tatoeba.org #2891514 (CK) & #10083809 (wolfgangth)
x10043	jetzt	now	sourced	jetzt	ADV	Die Tür ist jetzt zu.	The door is now closed.	CC-BY 2.0 (France) Attribution: tatoeba.org #3732437 (CK) & #8816470 (wolfgangth)
x10044	später	later	sourced	später	ADJ,ADV	Ich sag’s dir später.	I’ll tell you later.	CC-BY 2.0 (France) Attribution: tatoeba.org #2548286 (CK) & #2727854 (raggione)
x10045	früh	early	sourced	früh	ADJ,ADV	Ich kam zu früh an.	I arrived too early.	CC-BY 2.0 (France) Attribution: tatoeba.org #1115775 (CK) & #1112952 (Haehnchenpaella)
x10046	spät	late	sourced	spät	ADJ,ADV	Es ist nie zu spät.	It’s never too late.	CC-BY 2.0 (France) Attribution: tatoeba.org #1332565 (CM) & #1794753 (al_ex_an_der)
